[0, 0.45, -0.05, tensor([ 0.4500, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.45333333333333337, -0.05, tensor([ 0.4500, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.45666666666666667, -0.05, tensor([ 0.4531, -0.0500,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.46, -0.05, tensor([ 0.4563, -0.0500,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.4633333333333334, -0.05, tensor([ 0.4625, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.4666666666666667, -0.05, tensor([ 0.4656, -0.0531,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.47000000000000003, -0.05, tensor([ 0.4688, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.47333333333333333, -0.05, tensor([ 0.4719, -0.0531,  2.5525,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.4766666666666667, -0.05, tensor([ 0.4719, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.48000000000000004, -0.05, tensor([ 0.4781, -0.0531,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.48333333333333334, -0.05, tensor([ 0.4781, -0.0469,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.4866666666666667, -0.05, tensor([ 0.4844, -0.0531,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.49000000000000005, -0.05, tensor([ 0.4875, -0.0500,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.49333333333333335, -0.05, tensor([ 0.4906, -0.0531,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.4966666666666667, -0.05, tensor([ 0.4938, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.5, -0.05, tensor([ 0.4969, -0.0531,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.5033333333333334, -0.05, tensor([ 0.5000, -0.0500,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.5066666666666667, -0.05, tensor([ 0.5000, -0.0500,  1.3744,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.51, -0.05, tensor([ 0.5063, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.5133333333333334, -0.05, tensor([ 0.5094, -0.0531,  1.3744,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.5166666666666667, -0.05, tensor([ 0.5156, -0.0531,  1.5708,  0.0000], device='cuda:0'), tensor(0.)]
[0, 0.52, -0.05, tensor([ 0.5188, -0.0500,  2.3562,  0.0000], device='cuda:0'), tensor(0.)]
