[82, array([0.4643, 0.0365]), array([0.4578, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459 , 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4608, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4611, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4614, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4617, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.462 , 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4623, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4626, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4629, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4632, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4635, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4638, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4641, 0.0281]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4578, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459 , 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4608, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4611, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4614, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4617, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.462 , 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4623, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4626, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4629, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4632, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4635, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4638, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4641, 0.0284]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4578, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459 , 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4608, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4611, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4614, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4617, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.462 , 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4623, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4626, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4629, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4632, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4635, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4638, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4641, 0.0287]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4578, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459, 0.029]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4608, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4611, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4614, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4617, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.462, 0.029]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4623, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4626, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4629, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4632, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4635, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4638, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4641, 0.029 ]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4578, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459 , 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4608, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4611, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4614, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4617, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.462 , 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4623, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4626, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4629, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4632, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4635, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4638, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4641, 0.0293]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4578, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4581, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4584, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4587, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.459 , 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4593, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4596, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4599, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4602, 0.0296]), 0.7854, 1.0]
[82, array([0.4643, 0.0365]), array([0.4605, 0.0296]), 0.7854, 1.0]
